Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Bachelor of Arts - Business Communication,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Child Health,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Community Health,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Dramatic Arts (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Film Studies,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Game Design,"CA$ 25,293.00",CA$ 130.00,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,82.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Geography (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,88.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - History (Optional Co-op),"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - Interactive Arts and Science,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
,Bachelor of Arts - International Political Economy,"CA$ 25,293.00",CA$ 130.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,75.00%,,21,,21,6,6,6,6,128,DLI#: O19394569014,88,6.5
